dog,condition,choice,test_trial_number,latency,"first_trial_fam (1=yes, followed communicator)",first_trial_fam_type,first_baited_box,age,sex,breed,fci_group,parker_group,communicator,hider,ant_look,notes,second_trial_fam_type
Quainty,TrueBelief,baited,7,,1,displacement,blue,7,f,collie,1,uk_rural,LL,GPL,,,
Aila2,TrueBelief,baited,7,,1,displacement,brown,2,f,white_swiss_shepherd,1,new_world,LL,GPL,,,
Ookami,FalseBelief,baited,7,,1,displacement,blue,3,m,white_swiss_shepherd,1,new_world,LL,GPL,,,
Gryffindor,TrueBelief,baited,7,,1,no_displacement,brown,1,m,border_collie,1,uk_rural,LL,GPL,,,
Akela,FalseBelief,baited,9,,1,displacement,blue,2,m,australian_shepherd,1,uk_rural,LL,GPL,,,
Finlay2,FalseBelief,baited,7,,1,no_displacement,brown,5,m,golden_retriever,8,retriever,LL,GPL,,,
Argo,FalseBelief,baited,7,,1,displacement,blue,1,m,swiss_hound,6,scent_hound,LL,GPL,,,
Grey,TrueBelief,baited,7,,1,displacement,blue,1,f,labrador,8,retriever,LL,LB,,,
Benny,FalseBelief,empty,9,,1,no_displacement,brown,5,m,border_collie,1,uk_rural,LL,LB,,,
Achuk,FalseBelief,baited,7,,1,no_displacement,brown,14,f,chesapeake_bay_retriever,8,retriever,LL,GPL,,,
Elrond,FalseBelief,empty,7,,1,displacement,blue,10,m,chesapeake_bay_retriever,8,retriever,LL,GPL,,,
Bilbo,TrueBelief,empty,7,,1,no_displacement,brown,2,m,chesapeake_bay_retriever,8,retriever,LL,GPL,,,
Snoopy4,TrueBelief,baited,7,,1,no_displacement,blue,6,m,australian_shepherd,1,uk_rural,LL,GPL,,,
Siri,TrueBelief,empty,7,,1,no_displacement,blue,3,f,border_collie,1,uk_rural,LL,GPL,,,
Luna,TrueBelief,baited,7,,1,no_displacement,blue,0.83,f,australian_shepherd,1,uk_rural,LL,GPL,,,
Pascha1,FalseBelief,empty,7,,1,displacement,brown,10,m,german_shepherd,1,new_world,LL,GPL,,,
Paschi,FalseBelief,baited,9,,1,displacement,blue,3,m,collie,1,uk_rural,LL,EPA,,,
Elly,TrueBelief,empty,9,,1,displacement,brown,9,f,border_collie,1,uk_rural,LL,AH,,,
Gin,TrueBelief,empty,7,,1,no_displacement,blue,0.42,f,german_shepherd,1,new_world,LL,EPA,,,
Arkani,TrueBelief,empty,11,,1,displacement,brown,5,m,belgian_shepherd,1,continental_herder,LL,EPA,,,
Giulietta,FalseBelief,baited,7,,1,displacement,brown,3,f,white_swiss_shepherd,1,new_world,LL,AH,,,
Emily,TrueBelief,baited,7,,1,no_displacement,brown,11,f,border_collie,1,uk_rural,LL,GPL,,,
Juna,FalseBelief,empty,11,,1,no_displacement,brown,4,f,flat_coated_retriever,8,retriever,LL,GPL,,,
Vega,FalseBelief,empty,7,,1,displacement,blue,0.67,f,border_collie,1,uk_rural,LL,GPL,,,
Anubis2,FalseBelief,baited,9,,1,displacement,blue,6,m,belgian_shepherd,1,continental_herder,LL,GPL,,,
Aruba,FalseBelief,empty,7,,1,no_displacement,brown,7,f,border_collie,1,uk_rural,LL,GPL,,,
Baxi,TrueBelief,baited,9,,1,no_displacement,brown,11,f,labrador,8,retriever,LL,GPL,,,
Amy16b,FalseBelief,baited,7,,1,no_displacement,blue,7,f,australian_shepherd,1,uk_rural,LL,GPL,,,
Sepp,TrueBelief,baited,7,,1,displacement,brown,7,m,beagle,6,scent_hound,LL,GPL,,,
Riu,FalseBelief,empty,10,,1,displacement,blue,2,f,australian_shepherd,1,uk_rural,LL,SV,,,
Future Dream,FalseBelief,baited,7,,1,displacement,brown,4,f,border_collie,1,uk_rural,LL,SV,,,
Romeo,TrueBelief,baited,7,,1,no_displacement,brown,7,m,vizsla,7,pointer_setter,LL,SV,,,
Monty2,TrueBelief,empty,9,,1,no_displacement,blue,10,m,border_collie,1,uk_rural,LL,SV,,,
Rocket,TrueBelief,baited,7,,1,no_displacement,brown,1,m,saluki,10,mediterranean,LL,GP,,,
Coco3,FalseBelief,baited,7,,1,no_displacement,brown,4,f,siberian_husky,5,asian_spitz,LL,GP,,,
Kex,TrueBelief,empty,9,,0,displacement,blue,7,m,labrador,8,retriever,LL,GP,,,
Zookie,TrueBelief,empty,7,,1,no_displacement,blue,4,f,parson_russel_terrier,3,terrier,LL,GP,,,
Finley,TrueBelief,baited,7,,1,displacement,brown,2,m,shetland_sheep_dog,1,uk_rural,LL,GP,,,
Blue5,TrueBelief,empty,9,,1,displacement,brown,6,f,australian_shepherd,1,uk_rural,LL,SV,,,
Fibi6,FalseBelief,empty,7,,1,no_displacement,blue,6,f,shetland_sheep_dog,1,uk_rural,LL,SV,,,
Max,TrueBelief,baited,7,,1,no_displacement,brown,5,m,german_shepherd,1,new_world,LL,SV,,,
Prim,TrueBelief,empty,7,,1,no_displacement,blue,4,f,shetland_sheep_dog,1,uk_rural,LL,SV,,,
Nelson,FalseBelief,empty,7,,1,no_displacement,brown,5,m,labrador,8,retriever,LL,SV,,,
Lucy12,FalseBelief,empty,9,,1,displacement,brown,1,f,labrador,8,retriever,LL,SV,,,
